Date,price,volume
2019-03-03 01:42:00+00:00,3826.38,6.499142
2019-03-03 01:43:00+00:00,3827.38,10.578749
2019-03-03 01:44:00+00:00,3826.82,7.450407
2019-03-03 01:45:00+00:00,3827.04,4.873348
2019-03-03 01:46:00+00:00,3826.82,6.400093
2019-03-03 01:47:00+00:00,3826.31,6.934167
2019-03-03 01:48:00+00:00,3826.75,4.38804299
2019-03-03 01:49:00+00:00,3826.15,6.143128
2019-03-03 01:50:00+00:00,3826.67,4.269525
2019-03-03 01:51:00+00:00,3826.68,5.154539
2019-03-03 01:52:00+00:00,3826.22,5.088798
2019-03-03 01:53:00+00:00,3826.23,3.6932
2019-03-03 01:54:00+00:00,3827.86,4.207536
2019-03-03 01:55:00+00:00,3826.39,4.56979198
2019-03-03 01:56:00+00:00,3826.61,2.276246
2019-03-03 01:57:00+00:00,3826.27,6.895204
2019-03-03 01:58:00+00:00,3826,4.349133
2019-03-03 01:59:00+00:00,3826.71,6.920077
2019-03-03 02:00:00+00:00,3828.41,5.35761
2019-03-03 02:01:00+00:00,3828.29,5.871698
2019-03-03 02:02:00+00:00,3826.83,5.003471
2019-03-03 02:03:00+00:00,3827.11,13.946479
2019-03-03 02:04:00+00:00,3828.98,6.385069
2019-03-03 02:05:00+00:00,3828.05,3.890686
2019-03-03 02:06:00+00:00,3825.73,5.760009
2019-03-03 02:07:00+00:00,3826.45,6.034612
2019-03-03 02:08:00+00:00,3824.91,5.154215
2019-03-03 02:09:00+00:00,3825.33,2.549445
2019-03-03 02:10:00+00:00,3825.91,5.978318
2019-03-03 02:11:00+00:00,3826.11,3.903065
2019-03-03 02:12:00+00:00,3826.32,5.59405
2019-03-03 02:13:00+00:00,3825.25,4.99493298
2019-03-03 02:14:00+00:00,3825.26,2.972049
2019-03-03 02:15:00+00:00,3825.54,7.453368
2019-03-03 02:16:00+00:00,3824.5,6.017057
2019-03-03 02:17:00+00:00,3824.47,46.84068
2019-03-03 02:18:00+00:00,3824.47,18.845019
2019-03-03 02:19:00+00:00,3824.57,7.179999
2019-03-03 02:20:00+00:00,3825.91,3.162297
2019-03-03 02:21:00+00:00,3828.33,8.865873
2019-03-03 02:22:00+00:00,3827.55,6.39551
2019-03-03 02:23:00+00:00,3827.78,3.981437
2019-03-03 02:24:00+00:00,3826.26,7.970607
2019-03-03 02:25:00+00:00,3826.74,5.213197
2019-03-03 02:26:00+00:00,3826.87,4.42077899
2019-03-03 02:27:00+00:00,3827.6,5.663416
2019-03-03 02:28:00+00:00,3826.69,7.571799
2019-03-03 02:29:00+00:00,3827.37,8.868104
2019-03-03 02:30:00+00:00,3826.48,4.60079999
2019-03-03 02:31:00+00:00,3826.35,18.13794
2019-03-03 02:32:00+00:00,3824.79,5.216057
2019-03-03 02:33:00+00:00,3824.7,2.750432
2019-03-03 02:34:00+00:00,3824.93,5.895345
2019-03-03 02:35:00+00:00,3825.13,3.318948
2019-03-03 02:36:00+00:00,3825.26,5.945953
2019-03-03 02:37:00+00:00,3825.3,9.41008
2019-03-03 02:38:00+00:00,3825.24,4.976326
2019-03-03 02:39:00+00:00,3826.02,24.895043
2019-03-03 02:40:00+00:00,3825.8,3.490969
2019-03-03 02:41:00+00:00,3825.39,4.596758
2019-03-03 02:42:00+00:00,3823.99,35.56525899
2019-03-03 02:43:00+00:00,3825.4,3.46116
2019-03-03 02:44:00+00:00,3825.18,3.682859
2019-03-03 02:45:00+00:00,3825.09,4.902694
2019-03-03 02:46:00+00:00,3822.97,10.076214
2019-03-03 02:47:00+00:00,3822.95,4.000774
2019-03-03 02:48:00+00:00,3821.89,5.603694
2019-03-03 02:49:00+00:00,3821.02,4.768238
2019-03-03 02:50:00+00:00,3818.88,24.988577
2019-03-03 02:51:00+00:00,3816.03,20.693978
2019-03-03 02:52:00+00:00,3816.89,15.524952
2019-03-03 02:53:00+00:00,3818.2,8.665456
2019-03-03 02:54:00+00:00,3818.22,19.843883
2019-03-03 02:55:00+00:00,3818.36,5.410595
2019-03-03 02:56:00+00:00,3818.21,6.588186
2019-03-03 02:57:00+00:00,3820.89,6.43219
2019-03-03 02:58:00+00:00,3820.37,16.65906
2019-03-03 02:59:00+00:00,3821.3,4.439845
2019-03-03 03:00:00+00:00,3821.25,7.397621
2019-03-03 03:01:00+00:00,3821.27,7.156359
2019-03-03 03:02:00+00:00,3820.66,6.690518
2019-03-03 03:03:00+00:00,3820.28,11.757893
2019-03-03 03:04:00+00:00,3822.68,6.443378
2019-03-03 03:05:00+00:00,3822.46,6.334834
2019-03-03 03:06:00+00:00,3821.77,5.515591
2019-03-03 03:07:00+00:00,3822.14,6.724322
2019-03-03 03:08:00+00:00,3824.25,6.149373
2019-03-03 03:09:00+00:00,3823.77,8.568752
2019-03-03 03:10:00+00:00,3824.26,4.729781
2019-03-03 03:11:00+00:00,3824.99,4.400644
2019-03-03 03:12:00+00:00,3822.79,5.909627
2019-03-03 03:13:00+00:00,3822.84,4.90436599
2019-03-03 03:14:00+00:00,3824.22,6.241045
2019-03-03 03:15:00+00:00,3824.18,9.01168599
2019-03-03 03:16:00+00:00,3823.98,4.26262999
2019-03-03 03:17:00+00:00,3823.64,6.22975
2019-03-03 03:18:00+00:00,3821.99,5.981803
2019-03-03 03:19:00+00:00,3823.03,5.87098
2019-03-03 03:20:00+00:00,3823.02,4.166894
2019-03-03 03:21:00+00:00,3823.7,5.183749
2019-03-03 03:22:00+00:00,3824.09,5.97128
2019-03-03 03:23:00+00:00,3823.07,5.398444
2019-03-03 03:24:00+00:00,3823.5,3.144048
2019-03-03 03:25:00+00:00,3823.04,7.438357
2019-03-03 03:26:00+00:00,3821.65,8.972173
2019-03-03 03:27:00+00:00,3820.55,5.960936
2019-03-03 03:28:00+00:00,3820.85,2.810366
2019-03-03 03:29:00+00:00,3819.58,9.014397
2019-03-03 03:30:00+00:00,3820.01,8.097519
2019-03-03 03:31:00+00:00,3821.14,8.456051
2019-03-03 03:32:00+00:00,3822.57,2.614249
2019-03-03 03:33:00+00:00,3823.89,6.98546
2019-03-03 03:34:00+00:00,3822.73,7.904176
2019-03-03 03:35:00+00:00,3821.19,7.904612
2019-03-03 03:36:00+00:00,3820.65,3.697722
2019-03-03 03:37:00+00:00,3820.85,4.97808199
2019-03-03 03:38:00+00:00,3820,5.206202
2019-03-03 03:39:00+00:00,3818.23,7.757666
2019-03-03 03:40:00+00:00,3819.03,3.349789
2019-03-03 03:41:00+00:00,3819.41,6.604016
2019-03-03 03:42:00+00:00,3819.5,13.367002
2019-03-03 03:43:00+00:00,3820.81,13.241061
2019-03-03 03:44:00+00:00,3820.26,4.227687
2019-03-03 03:45:00+00:00,3822.44,19.230186
2019-03-03 03:46:00+00:00,3820.86,4.184464
2019-03-03 03:47:00+00:00,3821.41,4.398453
2019-03-03 03:48:00+00:00,3821.48,3.613676
2019-03-03 03:49:00+00:00,3821.6,3.313247
2019-03-03 03:50:00+00:00,3823.84,5.590589
2019-03-03 03:51:00+00:00,3823.81,8.571054
2019-03-03 03:52:00+00:00,3822.39,3.618156
2019-03-03 03:53:00+00:00,3822.21,5.20784399
2019-03-03 03:54:00+00:00,3823.11,4.18696399
2019-03-03 03:55:00+00:00,3823.07,4.315708
2019-03-03 03:56:00+00:00,3824.26,15.768134
2019-03-03 03:57:00+00:00,3824.21,5.47363
2019-03-03 03:58:00+00:00,3823.93,7.27471
2019-03-03 03:59:00+00:00,3824.75,5.926963
2019-03-03 04:00:00+00:00,3824.23,3.14029
2019-03-03 04:01:00+00:00,3825.41,13.445916
2019-03-03 04:02:00+00:00,3825.93,7.351508
2019-03-03 04:03:00+00:00,3826,4.427231
2019-03-03 04:04:00+00:00,3827.28,18.109376
2019-03-03 04:05:00+00:00,3829,5.860663
2019-03-03 04:06:00+00:00,3828.92,5.10808
2019-03-03 04:07:00+00:00,3827.83,6.400628
2019-03-03 04:08:00+00:00,3828.99,5.965387
2019-03-03 04:09:00+00:00,3827.17,5.065574
2019-03-03 04:10:00+00:00,3826.82,9.776515
2019-03-03 04:11:00+00:00,3828.32,4.361122
2019-03-03 04:12:00+00:00,3828.31,5.707616
2019-03-03 04:13:00+00:00,3827.05,7.775214
2019-03-03 04:14:00+00:00,3826.81,4.73890899
2019-03-03 04:15:00+00:00,3828.03,9.132222
2019-03-03 04:16:00+00:00,3828.53,7.841673
2019-03-03 04:17:00+00:00,3828.02,4.968466
2019-03-03 04:18:00+00:00,3827.38,4.236926
2019-03-03 04:19:00+00:00,3825.06,13.535985
2019-03-03 04:20:00+00:00,3825.2,3.564953
2019-03-03 04:21:00+00:00,3824.24,8.326681
2019-03-03 04:22:00+00:00,3824.72,4.62200499
2019-03-03 04:23:00+00:00,3826.53,4.283406
2019-03-03 04:24:00+00:00,3825.85,10.94213
2019-03-03 04:25:00+00:00,3825.99,7.307812
2019-03-03 04:26:00+00:00,3825.32,6.306102
2019-03-03 04:27:00+00:00,3824.9,5.406266
2019-03-03 04:28:00+00:00,3824.45,3.063431
2019-03-03 04:29:00+00:00,3824.32,7.152088
2019-03-03 04:30:00+00:00,3824.42,4.67917299
